id,nom,T_aller,T_retour,Id_Parc,no_parc,qlEner_iEGID,qlEner_sCommune,qlEner_sRue,qlEner_sNoRue,qlEner_sType,qlEner_Conso,qlEner_iCuisson,qlEner_sRecommendation,qlEner_iEDID,Année_construction,Période_de_construction,Année_de_rénovation_du_bâtiment,Surface_bâtiment,Nombre_de_niveau,SRE_calculée,qlEner_Densité,qlEner_iConsoRenov,geometry
0.0,Sud-Ouest / Cadouest,130.0,70.0,,4701.0,886774.0,Lausanne,Avenue de Cour,150,Mazout,694.15624,,CAD futur,0.0,1964.0,8014.0,2018.0,192.0,6.0,921.599976,753.207725694445,,MULTIPOINT (2536324.207000051 1152237.785004843)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,4701.0,886775.0,Lausanne,Avenue de Cour,152,Mazout,694.15624,,CAD futur,0.0,1964.0,8014.0,2018.0,192.0,6.0,921.599976,753.207725694445,,MULTIPOINT (2536313.2570000514 1152249.365004844)
,,,,,,887650.0,Lausanne,Chemin de la Grangette,77,Gaz,970.800954,,Gaz conservé,0.0,1970.0,8014.0,0.0,538.0,3.0,1291.19995,751.859474907063,,MULTIPOINT (2540195.847000046 1154124.8690046407)
0.0,Bergières-Bossons,130.0,70.0,1321585.0,1585.0,882536.0,Lausanne,Rue de la Borde,3A,Gaz,1371.393896,,CAD actuel,0.0,1985.0,8016.0,0.0,387.0,6.0,1857.59998,738.261141257537,,MULTIPOINT (2538204.972000049 1153185.758004741)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325885.0,5885.0,2119187.0,Lausanne,Chemin de Mornex,2,Gaz,290.335247,,CAD futur,0.0,1870.0,8011.0,0.0,82.0,6.0,393.600006,737.640363313008,,MULTIPOINT (2537919.85800005 1152213.5050048474)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325264.0,5264.0,885793.0,Lausanne,Avenue d'Ouchy,28,Mazout,150.87435,,CAD actuel,0.0,0.0,8012.0,0.0,128.0,2.0,204.800003,736.691162109375,,MULTIPOINT (2537900.9510000506 1151542.5130049204)
0.0,Vallon,175.0,75.0,13210077.0,10077.0,882729.0,Lausanne,Rue du Pont,10,Gaz,350.389582,,CAD actuel,0.0,1750.0,8011.0,2019.0,100.0,6.0,480.0,729.978295833333,,MULTIPOINT (2538195.3640000494 1152553.026004812)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325826.0,5826.0,884410.0,Lausanne,Avenue Louis-Ruchonnet,37,Gaz,894.040907,,CAD actuel,0.0,1933.0,8012.0,0.0,221.0,7.0,1237.59998,722.39892291532,,MULTIPOINT (2537493.3560000504 1152296.083004838)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1324837.0,4837.0,886410.0,Lausanne,Avenue de Cour,69,Mazout,727.12157,,CAD futur,0.0,1931.0,8012.0,2014.0,210.0,6.0,1008.0,721.350763888889,,MULTIPOINT (2536924.238000051 1151901.1260048812)
0.0,Ruffy,175.0,75.0,1323355.0,3355.0,280002424.0,Lausanne,Avenue de la Vallonnette,4,CAD,313.3,,Déjà raccordé,0.0,1971.0,8015.0,2018.0,545.0,0.0,436.0,718.577981651376,,MULTIPOINT (2539586.5810000473 1153209.7130047437)
0.0,Bergières-Bossons,130.0,70.0,1321847.0,1847.0,2119217.0,Lausanne,Chemin des Noisetiers,4,Mazout,138.57129,,CAD actuel,0.0,1933.0,8012.0,0.0,121.0,2.0,193.600006,715.760795454545,,MULTIPOINT (2537236.306000049 1153503.785004712)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325514.0,5514.0,887710.0,Lausanne,Avenue d'Ouchy,31,Gaz,1695.948163,,CAD actuel,0.0,1978.0,8015.0,2013.0,1481.0,2.0,2369.6001,715.710737255233,,MULTIPOINT (2537984.503000051 1151516.5500049198)
