Hour,Load_Profile
7168,46.87957376
7169,45.37228076
7170,43.86498775
7171,42.35769475
7172,40.85040174
7173,38.26937172
7174,37.73157036
7175,37.19376901
7176,36.65596765
7177,36.1181663
7178,34.26128571
7179,35.18420662
7180,36.10712752
7181,35.11211779
7182,40.21280511
7183,46.77639766
7184,44.91044259
7185,43.04448751
7186,41.17853243
7187,39.31257735
7188,37.44662227
7189,35.5806672
7190,34.88175752
7191,34.29066549
7192,33.69957347
7193,33.10848144
7194,31.37002138
7195,30.17719204
7196,28.9843627
7197,27.00728825
7198,26.50056867
7199,25.99384909
7200,31.14781182
7201,47.45120571
7202,47.70357939
7203,47.95595306
7204,46.65187828
7205,44.93905044
7206,43.2262226
7207,41.51339476
7208,39.80056692
7209,38.08773908
7210,36.37491125
7211,34.66208341
7212,32.97323419
7213,33.11712137
7214,28.57700101
7215,27.72398494
7216,26.87096887
7217,28.13777688
7218,31.06260213
7219,33.98742738
7220,36.91225263
7221,39.83707788
7222,42.76190313
7223,47.25184075
7224,45.66274745
7225,44.07365415
7226,42.48456084
7227,40.89546754
7228,39.30637424
7229,37.71728094
7230,36.12818763
7231,34.53909433
7232,31.6120053
7233,30.50776728
7234,29.40352926
7235,27.4244743
7236,26.78150347
7237,26.9246288
7238,29.76766733
7239,32.61070586
7240,35.45374439
7241,38.29678292
7242,41.13982145
7243,43.98285998
7244,46.99639755
7245,45.16885806
7246,43.34131857
7247,41.51377907
7248,39.68623958
7249,37.85870009
7250,36.0311606
7251,34.19611044
7252,34.19414299
7253,32.56979374
7254,30.7049654
7255,34.05065507
7256,37.39634473
7257,40.74203439
7258,45.6423814
7259,46.0549891
7260,46.46759681
7261,46.88020452
7262,46.21709947
7263,44.53807599
7264,42.85905251
7265,41.18002904
7266,39.50100556
7267,37.82198208
7268,35.58231947
7269,36.19342704
7270,36.80453461
7271,37.41564218
7272,38.02674975
7273,38.63785732
7274,38.82267419
7275,39.96127349
7276,41.09987279
7277,42.23847209
7278,43.37707139
7279,44.5156707
7280,45.65427
7281,46.7928693
7282,47.37104221
7283,45.7221971
7284,44.073352
7285,42.42450689
7286,40.77566179
7287,37.83428797
7288,37.36426328
7289,36.89423858
7290,36.27294617
7291,36.97306431
7292,37.67318245
7293,38.37330059
7294,40.04838651
7295,41.02938871
7296,42.01039092
7297,42.99139312
7298,43.97239533
7299,44.95339754
7300,45.93439974
7301,46.87957376
7302,45.37228076
7303,43.86498775
7304,42.35769475
7305,40.85040174
7306,38.26937172
7307,37.73157036
7308,37.19376901
7309,36.65596765
7310,36.1181663
7311,34.26128571
7312,35.18420662
7313,36.10712752
7314,35.11211779
7315,40.21280511
7316,46.77639766
7317,44.91044259
7318,43.04448751
7319,41.17853243
7320,39.31257735
7321,37.44662227
7322,35.5806672
7323,34.88175752
7324,34.29066549
7325,33.69957347
7326,33.10848144
7327,31.37002138
7328,30.17719204
7329,28.9843627
7330,27.00728825
7331,26.50056867
7332,25.99384909
7333,31.14781182
7334,47.45120571
7335,47.70357939
7336,47.95595306
7337,46.65187828
7338,44.93905044
7339,43.2262226
7340,41.51339476
7341,39.80056692
7342,38.08773908
7343,36.37491125
7344,34.66208341
7345,32.97323419
7346,33.11712137
7347,28.57700101
7348,27.72398494
7349,26.87096887
7350,28.13777688
7351,31.06260213
7352,33.98742738
7353,36.91225263
7354,39.83707788
7355,42.76190313
7356,47.25184075
7357,45.66274745
7358,44.07365415
7359,42.48456084
7360,40.89546754
7361,39.30637424
7362,37.71728094
7363,36.12818763
7364,34.53909433
7365,31.6120053
7366,30.50776728
7367,29.40352926
7368,27.4244743
7369,26.78150347
7370,26.9246288
7371,29.76766733
7372,32.61070586
7373,35.45374439
7374,38.29678292
7375,41.13982145
7376,43.98285998
7377,46.99639755
7378,45.16885806
7379,43.34131857
7380,41.51377907
7381,39.68623958
7382,37.85870009
7383,36.0311606
7384,34.19611044
7385,34.19414299
7386,32.56979374
7387,30.7049654
7388,34.05065507
7389,37.39634473
7390,40.74203439
7391,45.6423814
7392,46.0549891
7393,46.46759681
7394,46.88020452
7395,46.21709947
7396,44.53807599
7397,42.85905251
7398,41.18002904
7399,39.50100556
7400,37.82198208
7401,35.58231947
7402,36.19342704
7403,36.80453461
7404,37.41564218
7405,38.02674975
7406,38.63785732
7407,38.82267419
7408,39.96127349
7409,41.09987279
7410,42.23847209
7411,43.37707139
7412,44.5156707
7413,45.65427
7414,46.7928693
7415,47.37104221
7416,45.7221971
7417,44.073352
7418,42.42450689
7419,40.77566179
7420,37.83428797
7421,37.36426328
7422,36.89423858
7423,36.27294617
7424,36.97306431
7425,37.67318245
7426,38.37330059
7427,40.04838651
7428,41.02938871
7429,42.01039092
7430,42.99139312
7431,43.97239533
7432,44.95339754
7433,45.93439974
7434,46.87957376
7435,45.37228076
7436,43.86498775
7437,42.35769475
7438,40.85040174
7439,38.26937172
7440,37.73157036
7441,37.19376901
7442,36.65596765
7443,36.1181663
7444,34.26128571
7445,35.18420662
7446,36.10712752
7447,35.11211779
7448,40.21280511
7449,46.77639766
7450,44.91044259
7451,43.04448751
7452,41.17853243
7453,39.31257735
7454,37.44662227
7455,35.5806672
7456,34.88175752
7457,34.29066549
7458,33.69957347
7459,33.10848144
7460,31.37002138
7461,30.17719204
7462,28.9843627
7463,27.00728825
7464,26.50056867
7465,25.99384909
7466,31.14781182
7467,47.45120571
7468,47.70357939
7469,47.95595306
7470,46.65187828
7471,44.93905044
7472,43.2262226
7473,41.51339476
7474,39.80056692
7475,38.08773908
7476,36.37491125
7477,34.66208341
7478,32.97323419
7479,33.11712137
7480,28.57700101
7481,27.72398494
7482,26.87096887
7483,28.13777688
7484,31.06260213
7485,33.98742738
7486,36.91225263
7487,39.83707788
7488,42.76190313
7489,47.25184075
7490,45.66274745
7491,44.07365415
7492,42.48456084
7493,40.89546754
7494,39.30637424
7495,37.71728094
7496,36.12818763
7497,34.53909433
7498,31.6120053
7499,30.50776728
7500,29.40352926
7501,27.4244743
7502,26.78150347
7503,26.9246288
7504,29.76766733
7505,32.61070586
7506,35.45374439
7507,38.29678292
7508,41.13982145
7509,43.98285998
7510,46.99639755
7511,45.16885806
7512,43.34131857
7513,41.51377907
7514,39.68623958
7515,37.85870009
7516,36.0311606
7517,34.19611044
7518,34.19414299
7519,32.56979374
7520,30.7049654
7521,34.05065507
7522,37.39634473
7523,40.74203439
7524,45.6423814
7525,46.0549891
7526,46.46759681
7527,46.88020452
7528,46.21709947
7529,44.53807599
7530,42.85905251
7531,41.18002904
7532,39.50100556
7533,37.82198208
7534,35.58231947
7535,36.19342704
7536,36.80453461
7537,37.41564218
7538,38.02674975
7539,38.63785732
