hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
554	1	24	2	0	0	0	0	0	-0.1
555	1	24	3	0	0	0	0	0	-1.3
556	1	24	4	0	0	0	0	0	-2.0
557	1	24	5	0	0	0	0	0	-2.6
558	1	24	6	0	0	0	0	0	-3.3
559	1	24	7	0	0	0	0	0	-3.8
560	1	24	8	0	0	0	0	0	-4.2
561	1	24	9	10	10	10	10	0	-4.0
562	1	24	10	132	80	132	80	278	-2.0
563	1	24	11	234	79	234	79	518	-0.1
564	1	24	12	324	84	324	84	641	1.5
565	1	24	13	358	90	358	90	658	2.7
566	1	24	14	347	88	347	88	655	3.4
567	1	24	15	298	67	298	67	678	3.6
568	1	24	16	206	54	206	54	615	3.2
569	1	24	17	88	40	88	40	403	2.0
570	1	24	18	1	1	1	1	0	0.6
571	1	24	19	0	0	0	0	0	0.0
572	1	24	20	0	0	0	0	0	-0.5
573	1	24	21	0	0	0	0	0	-1.0
574	1	24	22	0	0	0	0	0	-1.5
575	1	24	23	0	0	0	0	0	-2.1
576	1	24	24	0	0	0	0	0	-2.6
577	1	25	1	0	0	0	0	0	-2.7
578	1	25	2	0	0	0	0	0	-2.8
579	1	25	3	0	0	0	0	0	-2.8
580	1	25	4	0	0	0	0	0	-2.9
581	1	25	5	0	0	0	0	0	-2.9
582	1	25	6	0	0	0	0	0	-3.0
583	1	25	7	0	0	0	0	0	-3.0
584	1	25	8	0	0	0	0	0	-3.1
585	1	25	9	11	11	11	11	0	-2.6
586	1	25	10	121	74	121	74	249	0.0
587	1	25	11	211	102	211	102	359	2.2
588	1	25	12	266	139	266	139	336	3.9
589	1	25	13	287	166	287	166	294	5.2
590	1	25	14	271	198	271	198	185	5.8
591	1	25	15	235	133	235	133	295	6.1
592	1	25	16	158	96	158	96	248	5.7
593	1	25	17	62	50	62	50	95	4.5
594	1	25	18	1	1	1	1	0	3.0
595	1	25	19	0	0	0	0	0	3.5
596	1	25	20	0	0	0	0	0	4.0
597	1	25	21	0	0	0	0	0	4.4
598	1	25	22	0	0	0	0	0	4.9
599	1	25	23	0	0	0	0	0	5.3
600	1	25	24	0	0	0	0	0	5.8
601	1	26	1	0	0	0	0	0	5.8
602	1	26	2	0	0	0	0	0	5.9
603	1	26	3	0	0	0	0	0	6.0
604	1	26	4	0	0	0	0	0	6.0
605	1	26	5	0	0	0	0	0	6.1
606	1	26	6	0	0	0	0	0	5.9
607	1	26	7	0	0	0	0	0	5.3
608	1	26	8	0	0	0	0	0	6.2
609	1	26	9	3	3	3	3	0	6.5
610	1	26	10	34	34	34	34	0	7.3
611	1	26	11	60	60	60	60	0	8.0
612	1	26	12	81	81	81	81	0	8.6
613	1	26	13	85	85	85	85	0	9.1
614	1	26	14	82	82	82	82	0	9.2
615	1	26	15	87	87	87	87	0	9.6
616	1	26	16	47	47	47	47	0	9.5
