id,Month,Day,Hour,Irr,Text,WS,PV_module_temp,,,u0,u1,,,
2327,4,7,23,0,14.8,0.93133333,14.8,,,,,,,
2328,4,7,24,0,14,0.0245,14,,,,,,,
2329,4,8,1,0,13.4,0.00733333,13.4,,,,,,,
2330,4,8,2,0,12.8,0.00216667,12.8,,,,,,,
2331,4,8,3,0,12.2,0.02133333,12.2,,,,,,,
2332,4,8,4,0,11.9,0.0175,11.9,,,,,,,
2333,4,8,5,0,11.6,0.12233333,11.6,,,,,,,
2334,4,8,6,0,11.5,0,11.5,,,,,,,
2335,4,8,7,7,11.6,0,11.95,,,,,,,
2336,4,8,8,180,13.3,0,22.3,,,,,,,
2337,4,8,9,214,14.1,0.01666667,24.77154255,,,,,,,
2338,4,8,10,388,15.3,0.00183333,34.69431101,,,,,,,
2339,4,8,11,494,16.4,0.05,40.90396825,,,,,,,
2340,4,8,12,713,17.9,0.10416667,52.96557375,,,,,,,
2341,4,8,13,924,19.5,0.17466667,64.44396594,,,,,,,
2342,4,8,14,400,19.4,0.13616667,38.97355742,,,,,,,
2343,4,8,15,265,18.9,0.28483333,31.57247316,,,,,,,
2344,4,8,16,53,17.8,0.21433333,20.36213582,,,,,,,
2345,4,8,17,39,16.9,0.1275,18.81101529,,,,,,,
2346,4,8,18,71,16.2,0.1715,19.6551896,,,,,,,
2347,4,8,19,42,15.6,0.11166667,17.66313859,,,,,,,
2348,4,8,20,0,14.9,0.0025,14.9,,,,,,,
2349,4,8,21,0,14.4,0.0085,14.4,,,,,,,
2350,4,8,22,0,13.8,0.055,13.8,,,,,,,
2351,4,8,23,0,13.3,0.15216667,13.3,,,,,,,
2352,4,8,24,0,12.7,0.06516667,12.7,,,,,,,
2353,4,9,1,0,12.1,0,12.1,,,,,,,
2354,4,9,2,0,11.4,0,11.4,,,,,,,
2355,4,9,3,0,10.8,0,10.8,,,,,,,
2356,4,9,4,0,10.4,0,10.4,,,,,,,
2357,4,9,5,0,10,0,10,,,,,,,
2358,4,9,6,0,9.8,0,9.8,,,,,,,
2359,4,9,7,4,9.8,0,10,,,,,,,
2360,4,9,8,97,10.8,0.001,15.64922412,,,,,,,
2361,4,9,9,209,11.9,0,22.35,,,,,,,
2362,4,9,10,396,13.5,0,33.3,,,,,,,
2363,4,9,11,610,15.4,0.01583333,45.8229286,,,,,,,
2364,4,9,12,625,16.7,0.03233333,47.7891654,,,,,,,
2365,4,9,13,512,17.2,0.11566667,42.33483792,,,,,,,
2366,4,9,14,193,16.7,0.08383333,26.22227456,,,,,,,
2367,4,9,15,497,17.1,0.13666667,41.41824111,,,,,,,
2368,4,9,16,494,17.4,0.14516667,41.53932396,,,,,,,
2369,4,9,17,184,16.7,0.0705,25.79738154,,,,,,,
2370,4,9,18,20,15.6,0.00133333,16.59978671,,,,,,,
2371,4,9,19,6,14.7,0,15,,,,,,,
2372,4,9,20,0,13.9,0.00033333,13.9,,,,,,,
2373,4,9,21,0,13.5,0,13.5,,,,,,,
2374,4,9,22,0,13.2,0.00033333,13.2,,,,,,,
2375,4,9,23,0,12.8,0,12.8,,,,,,,
2376,4,9,24,0,12.3,0,12.3,,,,,,,
2377,4,10,1,0,12.3,0.00033333,12.3,,,,,,,
2378,4,10,2,0,12.2,0,12.2,,,,,,,
2379,4,10,3,0,12.1,0,12.1,,,,,,,
2380,4,10,4,0,12.1,0.00033333,12.1,,,,,,,
2381,4,10,5,0,11.9,0,11.9,,,,,,,
2382,4,10,6,0,12,0,12,,,,,,,
2383,4,10,7,5,12.3,0,12.55,,,,,,,
2384,4,10,8,18,12.5,0,13.4,,,,,,,
2385,4,10,9,107,13.4,0,18.75,,,,,,,
2386,4,10,10,50,13.5,0.00033333,15.99986668,,,,,,,
2387,4,10,11,296,14.9,0.007,29.68344254,,,,,,,
2388,4,10,12,324,16,0.03733333,32.1038066,,,,,,,
2389,4,10,13,533,17.7,0.04966667,44.13989099,,,,,,,
2390,4,10,14,554,18.9,0.08933333,46.20965403,,,,,,,
2391,4,10,15,608,20.1,0.02416667,50.38290608,,,,,,,
2392,4,10,16,604,21.1,0.03416667,51.13580425,,,,,,,
2393,4,10,17,493,21.6,0.03583333,46.109479,,,,,,,
2394,4,10,18,207,21.2,0.02366667,31.51095584,,,,,,,
2395,4,10,19,93,20.4,0.00316667,25.04764519,,,,,,,
2396,4,10,20,1,19.5,0.00283333,19.54997734,,,,,,,
2397,4,10,21,0,18.8,0.00783333,18.8,,,,,,,
2398,4,10,22,0,18.1,0.00583333,18.1,,,,,,,
2399,4,10,23,0,17.4,0.09633333,17.4,,,,,,,
2400,4,10,24,0,16.8,0.01316667,16.8,,,,,,,
2401,4,11,1,0,15.8,0.005,15.8,,,,,,,
2402,4,11,2,0,14.8,0.00033333,14.8,,,,,,,
2403,4,11,3,0,13.8,0,13.8,,,,,,,
2404,4,11,4,0,13.3,0.00033333,13.3,,,,,,,
2405,4,11,5,0,12.7,0.00033333,12.7,,,,,,,
2406,4,11,6,0,12.3,0.00033333,12.3,,,,,,,
2407,4,11,7,28,12.9,0.00033333,14.29992534,,,,,,,
2408,4,11,8,221,14.9,0,25.95,,,,,,,
2409,4,11,9,450,17.2,0,39.7,,,,,,,
2410,4,11,10,604,19.2,0.01133333,49.34533647,,,,,,,
2411,4,11,11,799,21.2,0.01483333,61.05540985,,,,,,,
2412,4,11,12,551,21.6,0.00783333,49.1155139,,,,,,,
2413,4,11,13,531,21.8,0.01133333,48.30194316,,,,,,,
2414,4,11,14,457,21.7,0.029,44.44446568,,,,,,,
2415,4,11,15,547,21.9,0.08333333,48.89013159,,,,,,,
2416,4,11,16,412,21.6,0.04983333,42.03704861,,,,,,,
2417,4,11,17,264,20.9,0,34.1,,,,,,,
2418,4,11,18,108,19.7,0,25.1,,,,,,,
2419,4,11,19,51,18.6,0,21.15,,,,,,,
2420,4,11,20,0,17.5,0,17.5,,,,,,,
2421,4,11,21,0,16.2,0,16.2,,,,,,,
2422,4,11,22,0,14.9,0,14.9,,,,,,,
2423,4,11,23,0,13.6,0,13.6,,,,,,,
2424,4,11,24,0,12.3,0,12.3,,,,,,,
2425,4,12,1,0,11.2,0,11.2,,,,,,,
2426,4,12,2,0,10,0,10,,,,,,,
2427,4,12,3,0,9.4,0,9.4,,,,,,,
2428,4,12,4,0,8.8,0,8.8,,,,,,,
2429,4,12,5,0,8.3,0,8.3,,,,,,,
2430,4,12,6,0,8.2,0,8.2,,,,,,,
2431,4,12,7,56,8.8,0,11.6,,,,,,,
2432,4,12,8,234,10.4,0,22.1,,,,,,,
